id,city,pop
1,Jingmao,623
2,Sundsvall,67
3,Abaza,855
4,Joliet,893
5,Saint-Bruno-de-Guigues,388
6,Coulommiers,48
7,Wenquan,223
8,Serebryanyye Prudy,204
9,Duas Igrejas,289
10,Sukpak,821
11,Na Chaluai,379
12,Januszkowice,811
13,Ostrzeszów,286
14,Fenlu,431
15,Al Ḩarajah,831
16,Dehui,452
17,Sukamulya,809
18,Nyachera,327
19,Dawuhan,65
20,Helang,511
21,Hongcao,163
22,Chambéry,364
23,Kotatengah,397
24,Rukem,46
25,Tríkeri,554
26,Smolenskaya,704
27,Lubenia,551
28,Manique de Baixo,238
29,Cibungur,325
30,Fushë-Bulqizë,906
31,Mörrum,449
32,Parung,745
33,Mengenkrajan,491
34,A Yun Pa,103
35,Oslo,358
36,Nanmuping,248
37,Orillia,725
38,Klinan,225
39,Vynohradove,936
40,Daszewice,668
41,Kalchevaya,355
42,Barreiras,565
43,Al Ḩusayn,477
44,Sainte-Sophie,814
45,Hangu,979
46,Parkent,446
47,La Mesa,480
48,Saint Paul,933
49,Laiwu,967
50,Daveluyville,418
51,Orahovica Donja,705
52,Pereira,821
53,Carcar,185
54,Portelinha,518
55,Ullulluco,739
56,Salamina,730
57,Sutton,956
58,Thạnh Mỹ,931
59,Somerset East,843
60,Tumpukrenteng,421
61,Guisguis,132
62,Amuru,106
63,Jiuheyuan,446
64,Andrijaševci,803
65,Jiahu,985
66,Haliut,997
67,San Narciso,817
68,Ahmadpur Siāl,389
69,Rasskazovo,387
70,Smedjebacken,837
71,Dahuang,936
72,Tamanar,274
73,Meicheng,884
74,Salto,754
75,Jiguaní,30
76,Ayapel,645
77,Luleå,67
78,Brodósqui,868
79,Devnya,613
80,Pag-asa,127
81,Itako,722
82,Cergy-Pontoise,78
83,Zhourui,622
84,Pilar do Sul,260
85,Little Rock,13
86,Jōetsu,412
87,Poputnaya,38
88,Kuvandyk,55
89,Lelystad,696
90,Fengchan,464
91,Sarov,464
92,Nanjie,885
93,Paris 07,276
94,Aba,267
95,Shanggu,555
96,Cibatuireng,255
97,Zelenograd,963
98,Saint-Denis,297
99,Kara Suu,610
100,Tarata,119
